"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family only: Total; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married couple: Total; measures: Value","Household Composition: One family only: Married couple: No children; measures: Value","Household Composition: One family only: Married couple: One dependent child; measures: Value","Household Composition: One family only: Married couple: Two or more dependent children; measures: Value","Household Composition: One family only: Married couple: All children non-dependent; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Total; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: One dependent child; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Two or more dependent children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple: Total; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: One dependent child; measures: Value","Household Composition: One family only: Cohabiting couple: Two or more dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent: Total; measures: Value","Household Composition: One family only: Lone parent: One dependent child; measures: Value","Household Composition: One family only: Lone parent: Two or more dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types: Total; measures: Value","Household Composition: Other household types: With one dependent child; measures: Value","Household Composition: Other household types: With two or more dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01026855",2011,"Norwich 011D","Total",1564,332,102,230,873,68,491,144,108,159,80,2,2,0,0,0,194,128,29,28,9,118,22,55,41,359,8,4,135,2,210
"E01026856",2011,"Norwich 011E","Total",1821,306,59,247,864,34,351,130,70,110,41,6,2,0,4,0,311,190,80,35,6,162,67,54,41,651,15,5,373,0,258
"E01026857",2011,"Norwich 011F","Total",1515,327,192,135,851,128,458,136,84,182,56,2,2,0,0,0,170,96,37,27,10,93,42,35,16,337,18,27,158,12,122
"E01026858",2011,"Norwich 010A","Total",1508,323,161,162,918,132,381,94,66,149,72,0,0,0,0,0,166,46,63,54,3,239,83,87,69,267,19,5,162,12,69
"E01026859",2011,"Norwich 010B","Total",1659,154,76,78,1244,92,615,108,86,340,81,0,0,0,0,0,247,52,49,140,6,290,110,135,45,261,0,27,147,8,79
"E01026860",2011,"Norwich 010C","Total",1098,152,85,67,669,120,371,98,74,119,80,0,0,0,0,0,94,36,18,35,5,84,29,19,36,277,11,21,172,4,69
"E01026861",2011,"Norwich 010D","Total",1493,105,59,46,975,88,467,86,116,118,147,0,0,0,0,0,191,16,69,96,10,229,86,89,54,413,23,31,245,0,114
"E01026862",2011,"Norwich 010E","Total",1302,122,86,36,878,92,514,82,136,190,106,0,0,0,0,0,110,18,17,66,9,162,50,64,48,302,13,58,136,0,95
"E01026863",2011,"Norwich 006A","Total",1814,215,80,135,1098,86,614,198,93,223,100,2,2,0,0,0,236,128,50,52,6,160,71,44,45,501,28,24,236,0,213
"E01026864",2011,"Norwich 006B","Total",1547,169,75,94,1218,110,648,224,109,235,80,0,0,0,0,0,222,66,45,88,23,238,87,112,39,160,34,23,10,6,87
"E01026865",2011,"Norwich 006C","Total",1949,236,79,157,1385,70,580,120,145,229,86,7,0,0,7,0,404,122,65,207,10,324,127,143,54,328,49,49,114,4,112
"E01026866",2011,"Norwich 006D","Total",1574,293,68,225,905,90,470,142,105,160,63,0,0,0,0,0,186,122,28,26,10,159,62,61,36,376,24,20,123,8,201
"E01026867",2011,"Norwich 006E","Total",1592,136,51,85,1149,62,504,90,69,252,93,2,2,0,0,0,313,36,77,184,16,268,58,167,43,307,45,86,50,8,118
"E01026868",2011,"Norwich 006F","Total",1623,119,41,78,1143,28,516,96,85,250,85,6,6,0,0,0,282,36,49,176,21,311,82,169,60,361,43,76,137,2,103
"E01026869",2011,"Norwich 006G","Total",1400,264,63,201,1039,74,486,122,94,211,59,6,2,0,4,0,220,30,39,133,18,253,103,103,47,97,20,18,10,4,45
"E01033434",2011,"Norwich 011G","Total",1076,311,62,249,562,26,244,86,70,69,19,0,0,0,0,0,209,170,21,12,6,83,37,18,28,203,18,10,48,0,127
"E01033435",2011,"Norwich 005G","Total",1845,144,21,123,1284,32,769,138,182,384,65,2,2,0,0,0,292,154,60,75,3,189,72,76,41,417,20,57,210,2,128
"E01033436",2011,"Norwich 005H","Total",1383,187,89,98,1001,80,508,142,90,197,79,0,0,0,0,0,192,62,42,74,14,221,84,84,53,195,32,27,82,2,52
"E01033437",2011,"Norwich 011H","Total",1334,460,136,324,684,58,288,86,73,100,29,0,0,0,0,0,147,72,39,25,11,191,91,52,48,190,28,27,43,2,90
"E01033438",2011,"Norwich 014A","Total",1350,557,276,281,612,118,253,82,45,111,15,8,8,0,0,0,175,140,15,17,3,58,31,6,21,181,5,6,21,6,143
"E01033439",2011,"Norwich 014B","Total",1357,366,42,324,763,20,307,152,67,56,32,0,0,0,0,0,354,250,37,57,10,82,32,19,31,228,12,15,11,2,188
"E01033440",2011,"Norwich 014C","Total",1070,377,30,347,520,16,226,92,72,52,10,8,8,0,0,0,200,138,29,30,3,70,43,7,20,173,15,4,26,0,128
"E01033441",2011,"Norwich 014D","Total",1229,428,31,397,596,34,204,106,60,25,13,8,8,0,0,0,270,230,24,16,0,80,20,45,15,205,14,0,25,2,164
