"lsoa11cd","date","lsoa11nm","Rural Urban","Family Type: All lone parent housholds with dependent children; measures: Value","Family Type: Lone parent in part-time employment: Total; measures: Value","Family Type: Lone parent in full-time employment: Total; measures: Value","Family Type: Lone parent not in employment: Total; measures: Value","Family Type: Male lone parent: Total; measures: Value","Family Type: Male lone parent: In part-time employment; measures: Value","Family Type: Male lone parent: In full-time employment; measures: Value","Family Type: Male lone parent: Not in employment; measures: Value","Family Type: Female lone parent: Total; measures: Value","Family Type: Female lone parent: In part-time employment; measures: Value","Family Type: Female lone parent: In full-time employment; measures: Value","Family Type: Female lone parent: Not in employment; measures: Value"
"E01026840",2011,"Norwich 009F","Total",50,20,12,18,5,2,0,3,45,18,12,15
"E01026841",2011,"Norwich 003A","Total",40,20,6,14,4,1,1,2,36,19,5,12
"E01026842",2011,"Norwich 003B","Total",25,6,9,10,1,0,0,1,24,6,9,9
"E01026843",2011,"Norwich 003C","Total",76,18,15,43,6,1,2,3,70,17,13,40
"E01026844",2011,"Norwich 003D","Total",92,26,14,52,8,1,5,2,84,25,9,50
"E01026845",2011,"Norwich 003E","Total",49,18,14,17,2,1,1,0,47,17,13,17
"E01026846",2011,"Norwich 003F","Total",51,25,10,16,6,2,3,1,45,23,7,15
"E01026848",2011,"Norwich 015A","Total",110,23,19,68,19,3,3,13,91,20,16,55
"E01026849",2011,"Norwich 015B","Total",23,12,5,6,2,1,1,0,21,11,4,6
"E01026850",2011,"Norwich 015C","Total",51,16,14,21,7,0,6,1,44,16,8,20
"E01026852",2011,"Norwich 011A","Total",14,8,6,0,3,0,3,0,11,8,3,0
"E01026853",2011,"Norwich 011B","Total",58,15,16,27,10,0,6,4,48,15,10,23
"E01026855",2011,"Norwich 011D","Total",27,12,8,7,8,1,4,3,19,11,4,4
"E01026856",2011,"Norwich 011E","Total",46,19,13,14,3,0,2,1,43,19,11,13
"E01026857",2011,"Norwich 011F","Total",28,10,8,10,1,0,0,1,27,10,8,9
"E01026858",2011,"Norwich 010A","Total",63,23,10,30,10,2,2,6,53,21,8,24
"E01026859",2011,"Norwich 010B","Total",86,25,12,49,5,0,3,2,81,25,9,47
"E01026860",2011,"Norwich 010C","Total",19,8,0,11,2,0,0,2,17,8,0,9
"E01026861",2011,"Norwich 010D","Total",65,23,4,38,8,0,0,8,57,23,4,30
"E01026862",2011,"Norwich 010E","Total",39,11,9,19,4,1,2,1,35,10,7,18
"E01026863",2011,"Norwich 006A","Total",46,10,14,22,9,0,8,1,37,10,6,21
"E01026864",2011,"Norwich 006B","Total",69,16,24,29,9,0,8,1,60,16,16,28
"E01026865",2011,"Norwich 006C","Total",98,29,13,56,13,3,5,5,85,26,8,51
"E01026866",2011,"Norwich 006D","Total",47,20,9,18,5,1,3,1,42,19,6,17
"E01026867",2011,"Norwich 006E","Total",68,21,5,42,5,0,2,3,63,21,3,39
"E01026868",2011,"Norwich 006F","Total",79,16,9,54,6,0,3,3,73,16,6,51
"E01026869",2011,"Norwich 006G","Total",77,26,7,44,5,1,0,4,72,25,7,40
"E01033434",2011,"Norwich 011G","Total",23,7,11,5,5,0,5,0,18,7,6,5
"E01033435",2011,"Norwich 005G","Total",57,20,13,24,6,0,2,4,51,20,11,20
"E01033436",2011,"Norwich 005H","Total",60,21,8,31,3,1,2,0,57,20,6,31
